PID	PGID	SID	PPID
1	1	1	0
3	3	3	1
17	17	17	1
21	302	1	1
25	25	25	1
26	26	26	25
38	38	38	1
39	39	39	1
40	40	12	1
43	43	4	1
46	46	46	1
49	49	49	1
51	51	51	1
52	1	1	21
53	53	53	21
55	55	55	1
58	58	58	21
61	61	61	55
63	1	1	1
65	65	65	1
67	67	67	1
69	69	69	1
73	73	73	1
74	74	74	26
80	90	73	73
84	84	84	1
85	1	1	53
86	86	86	84
95	95	95	21
97	12	12	1
101	101	31	1
103	107	3	1
110	110	110	1
112	112	112	1
113	113	6	1
122	122	19	1
126	126	126	112
128	128	128	1
134	134	134	21
136	184	4	49
138	1	1	110
141	141	20	1
149	149	149	74
152	152	3	1
157	1	1	1
158	158	158	1
163	163	163	86
167	167	167	113
168	168	168	1
172	172	172	1
173	173	173	1
175	175	175	38
178	178	1	1
179	179	179	173
184	43	4	136
187	187	187	1
189	189	189	61
191	191	20	1
193	1	1	1
194	194	194	187
198	198	198	1
201	201	201	1
202	202	202	1
203	36	36	1
204	204	204	1
208	173	12	1
212	212	212	158
216	216	216	1
218	218	218	65
221	221	221	112
222	222	86	86
223	223	223	1
225	225	3	1
228	228	228	1
231	231	37	1
234	234	234	1
238	238	238	1
241	241	241	1
242	242	242	1
243	86	86	1
246	246	246	141
248	248	248	1
251	251	251	1
252	252	86	1
253	253	253	231
254	254	254	1
255	255	255	1
259	259	259	1
261	261	4	43
262	262	262	55
264	264	264	1
271	271	271	1
278	278	278	208
279	279	279	184
280	280	12	234
284	73	73	1
285	285	285	189
292	292	292	1
296	296	296	271
298	298	298	1
299	299	299	221
304	304	12	97
307	307	307	1
308	308	308	1
309	309	3	1
311	311	1	1
313	107	3	225
314	314	314	1
318	318	318	246
319	483	3	103
322	483	3	313
323	323	323	1
326	326	3	313
327	327	327	1
330	330	330	1
337	337	337	1
338	338	338	110
340	1	1	1
341	1	1	1
343	343	343	1
345	345	345	1
346	346	346	1
348	348	12	173
351	4099	1	1
353	353	15	314
363	363	363	191
370	370	370	21
371	371	371	1
376	310	310	1
379	927	15	353
380	380	380	1
381	381	105	1
382	382	73	1
383	383	383	61
384	12	12	1
388	388	388	1
390	390	32	65
391	391	84	84
394	394	394	280
399	399	399	1
405	73	73	1
406	406	406	1
408	408	408	1
410	773	3	309
411	411	411	1
413	413	413	1
415	415	415	1
416	416	416	410
418	1	1	1
419	419	419	1
422	422	422	1
424	424	424	101
425	425	425	345
427	427	427	136
430	430	430	234
432	432	432	1
434	1	1	21
439	439	439	415
443	73	73	1
448	448	448	1
452	25	25	25
455	455	455	1
456	456	456	1
457	457	457	167
458	458	15	314
459	459	33	46
462	12	12	1
463	463	463	1
464	464	464	84
465	465	380	380
468	468	468	261
469	4019	3	1
472	472	472	51
474	1	1	1
478	130	130	1
483	103	3	3
484	484	484	1
489	489	489	1
490	490	490	1
491	491	491	327
492	492	207	1
493	493	493	418
499	499	389	1
501	501	501	198
502	1	1	157
503	503	503	1
504	504	504	381
506	506	506	318
507	507	507	1
508	508	508	1
509	509	509	1
511	511	511	1
513	513	513	74
516	516	516	416
518	518	518	1
520	520	520	1
522	522	522	1
526	526	526	1
527	527	527	279
529	240	1	1
530	530	530	157
531	531	531	318
533	107	3	313
535	535	535	1
536	536	536	1
538	1	1	1
540	540	451	1
543	3119	1	228
552	61	61	285
553	553	237	1
555	555	555	1
558	558	558	1
560	560	560	1
561	561	561	1
567	567	567	492
569	569	569	53
571	20	20	1
575	32	32	390
576	576	576	1
577	577	577	1
578	414	414	1
584	12	12	97
585	107	3	1
587	587	587	413
598	598	598	422
602	602	602	381
603	1056	73	406
605	3	3	1
609	609	609	327
612	612	612	1
613	414	414	1
619	619	619	138
621	621	621	522
628	169	169	1
629	629	629	1
630	630	630	323
631	631	631	222
634	634	634	1
635	635	635	575
636	12	12	1
639	639	639	1
640	12	12	97
641	641	641	1
642	642	642	242
643	643	643	1
644	644	644	1
647	647	647	408
651	651	651	1
653	81	81	491
655	655	655	1
663	1	1	1
664	664	664	560
665	665	665	558
666	304	12	208
667	667	667	1
669	669	86	1
673	673	673	1
674	674	674	1
676	676	676	1
678	678	678	1
679	1078	3	1
681	1	1	665
685	169	169	1
687	687	687	242
689	83	1	1
695	695	695	1
696	696	696	636
700	700	700	223
702	702	702	309
703	403	403	1
706	706	706	1
709	709	709	629
712	712	712	1
713	12	12	97
716	1648	501	501
717	717	717	1
718	73	73	630
719	719	719	1
720	720	177	1
723	631	631	631
724	724	724	676
730	32	32	65
731	560	5	560
732	732	732	493
735	83	1	1
736	736	310	376
737	737	737	687
742	742	742	1
743	743	743	1
744	744	744	280
745	198	1	529
747	1160	25	1
748	748	748	384
749	6	6	1
753	753	753	1
754	754	754	640
755	755	755	26
756	756	45	1
757	357	357	1
758	758	758	1
760	548	207	1
761	761	761	1
762	762	762	1
764	764	764	1
766	766	766	1
771	771	1	1
772	772	772	1
774	81	81	1
775	775	775	1
777	213	12	1
778	1	1	413
782	782	4	1
783	783	783	388
784	631	631	723
785	785	154	667
786	192	39	1
787	1	1	663
790	130	130	1
791	1852	20	509
792	792	12	1
800	800	800	1
802	802	802	345
803	1	1	1
806	806	806	1
807	807	207	674
809	809	809	636
810	810	810	1
811	811	218	218
818	818	818	353
823	73	73	1
824	824	824	757
825	825	1	493
827	827	3	319
828	828	15	458
829	829	829	1
832	832	832	1
833	833	833	503
834	475	1	1
838	838	838	1
840	840	840	1
842	842	842	243
843	843	843	609
845	845	845	408
848	848	848	674
849	849	849	772
852	563	167	1
853	154	20	571
854	854	854	621
857	73	73	194
858	858	1	1
860	860	860	1
862	862	862	1
864	511	511	511
867	516	516	516
868	156	20	1
869	869	869	1
877	483	3	298
878	156	20	74
879	879	879	1
881	881	881	1
882	2418	169	685
884	1	1	1
885	885	885	1
886	12	12	1
889	889	889	1
891	3252	3	827
895	895	1	1
899	899	899	732
906	906	1	198
907	130	130	346
908	908	908	1
911	240	1	1
912	912	912	231
913	156	20	216
914	32	32	390
917	917	917	1
919	919	110	110
921	357	357	757
922	542	542	862
923	923	923	1
927	353	15	353
928	928	928	1
931	451	451	540
933	933	933	97
937	937	937	158
941	1301	49	1
943	943	943	700
944	944	944	1
947	947	354	1
949	949	949	1
950	950	950	1
951	302	1	712
953	414	414	613
956	956	3	1
959	959	959	1
960	960	960	933
965	501	501	501
967	967	967	483
968	296	1	296
970	970	970	749
974	974	974	679
975	975	975	1
976	156	20	1
977	977	977	1
979	409	409	1
980	980	980	849
981	1	1	642
985	61	61	1
989	371	3	1
990	37	37	800
992	992	992	1
993	993	993	629
995	15	15	828
996	996	501	716
999	999	999	1
1003	302	1	803
1005	1005	4	184
1009	1009	1009	1
1010	1010	1010	463
1012	1012	1012	1
1013	1013	1013	1
1016	45	45	1
1018	45	45	1
1019	792	12	394
1021	154	20	993
1022	1022	1022	1
1025	1025	1025	885
1027	1	1	1
1028	1028	1028	1
1030	1030	438	1
1031	53	53	569
1033	1033	200	1
1034	1034	1034	97
1036	213	12	1
1037	55	55	1
1039	1039	12	1
1040	1040	1040	1
1043	1043	1043	881
1044	55	55	977
1048	1048	1048	242
1050	1050	1050	1
1051	1051	3	1
1053	1053	278	278
1059	1059	1059	501
1065	1065	1065	1
1066	207	207	674
1068	1068	752	1
1070	1070	1070	928
1072	207	207	807
1073	1073	1073	1
1074	1074	1074	179
1076	1076	1076	1
1077	1077	1077	457
1078	1078	3	298
1079	5	5	1
1081	130	130	790
1082	86	86	222
1083	1083	1083	1
1084	1084	1084	1
1085	169	169	1
1090	4	4	782
1092	143	143	621
1093	1	1	1
1095	1095	1095	1
1097	1	1	1028
1098	1098	1098	167
1100	1	1	178
1102	1102	1102	1
1103	1103	1103	179
1105	1105	1105	353
1107	1107	1107	338
1108	1	1	529
1109	1109	1109	1
1110	1110	20	629
1111	1111	130	907
1112	128	128	128
1113	1113	1113	553
1114	1114	1114	1070
1116	103	3	172
1117	1117	1117	1
1121	1121	1121	1
1123	184	4	184
1124	1124	1124	560
1125	105	105	602
1126	1126	1126	69
1130	156	20	868
1135	1135	1135	641
1137	45	45	1
1138	618	618	1
1142	265	265	1
1144	1144	1144	1
1145	1145	1145	1
1146	1146	1146	1
1148	1148	1148	995
1149	1149	1149	1
1150	1150	1150	1
1152	1152	1152	113
1154	148	148	1
1155	553	237	1113
1160	1160	25	1102
1162	1162	1162	736
1163	1163	1163	878
1164	1164	1164	933
1165	1165	1165	737
1167	1167	1167	1
1170	4407	148	643
1172	1172	1	1144
