PID	PGID	SID	PPID
1	1	1	0
4	4	4	1
5	36	1	1
7	7	7	1
8	19	3	1
9	1	1	1
13	1	1	1
16	1	1	5
17	17	17	7
21	32	1	16
28	74	1	1
29	8	3	1
30	30	30	1
33	1	1	1
35	1	1	1
36	36	1	1
39	1	1	1
42	7	7	1
43	1	1	16
45	1	1	9
46	46	7	1
49	1	1	1
50	21	1	1
51	51	3	1
53	53	53	1
54	54	3	51
56	4	4	4
57	57	1	39
58	4	4	56
60	20	1	5
61	61	4	58
62	62	1	39
63	63	63	1
64	64	64	1
65	1	1	28
67	67	67	1
68	68	68	29
69	69	69	29
70	70	70	67
71	71	71	51
72	8	3	71
73	8	3	69
74	74	1	45
75	18	18	1
78	1	1	36
79	4	4	58
80	20	1	5
81	18	18	75
82	82	18	1
83	8	3	73
84	3	3	29
85	1	1	78
89	20	1	80
91	32	1	35
93	19	3	71
94	1	1	16
97	31	1	62
98	21	1	21
99	3	3	84
102	18	18	82
103	32	1	91
104	104	104	1
105	53	53	53
106	32	1	91
107	19	3	54
108	53	53	105
109	1	1	89
110	4	4	56
111	20	1	1
113	62	1	62
114	3	3	68
115	115	115	36
116	1	1	45
118	32	1	103
119	115	115	115
120	1	1	1
121	53	53	105
122	46	7	46
123	1	1	16
124	124	124	5
125	115	115	119
126	20	1	111
127	3	3	99
128	3	3	68
129	20	1	109
130	53	53	108
131	1	1	16
132	30	30	30
133	19	3	8
134	68	68	68
135	4	4	56
136	1	1	78
137	1	1	1
138	62	1	62
139	69	69	69
140	7	7	7
141	74	1	126
142	1	1	94
143	115	115	119
144	1	1	78
145	70	70	70
146	3	3	128
147	19	3	107
148	148	115	143
149	1	1	43
150	53	53	105
151	70	70	145
152	1	1	78
153	20	1	80
154	3	3	99
