PID	PGID	SID	PPID
1	1	1	0
2	2	2	1
6	6	1	1
13	13	13	1
16	16	16	1
25	25	25	1
32	32	1	1
47	47	47	1
50	50	50	1
54	54	1	1
60	210	42	1
63	63	63	50
64	64	64	1
73	82	1	1
78	78	78	1
80	80	80	47
81	16	16	16
82	82	82	1
83	83	83	1
85	32	1	13
88	82	1	1
89	89	89	88
94	94	94	1
95	11	1	1
96	96	96	1
97	97	97	1
101	101	101	54
102	102	102	1
109	109	109	1
110	110	110	1
111	396	1	101
114	1	1	1
115	115	115	114
118	118	1	1
121	121	121	25
122	122	122	1
125	125	1	115
135	135	1	13
136	136	136	64
138	1	1	1
141	1	1	1
143	143	143	1
144	144	144	1
148	148	1	109
151	151	1	1
152	152	152	110
156	156	156	1
161	161	161	1
165	165	165	1
175	175	175	1
177	177	177	148
178	39	1	1
179	448	1	1
184	184	184	121
187	187	18	1
191	82	1	1
197	197	197	1
198	1	1	1
199	1	1	136
201	42	42	1
202	202	202	1
203	203	203	1
205	42	42	201
219	82	1	96
220	220	220	96
221	221	221	88
222	11	1	1
223	223	223	1
226	226	226	122
227	227	227	1
231	231	231	1
233	233	233	1
234	234	234	1
236	236	236	227
238	238	238	1
241	241	241	94
247	247	247	121
248	248	248	125
250	250	250	85
253	253	253	1
254	254	254	80
255	255	1	1
256	1	1	197
257	82	1	109
258	39	1	1
259	11	1	152
261	136	1	1
262	616	1	1
263	263	263	1
267	267	1	156
269	269	269	1
270	270	270	1
272	272	248	248
274	274	274	222
276	276	276	238
277	277	277	191
278	278	278	1
281	281	281	1
282	282	1	1
283	720	1	1
284	82	1	276
289	289	289	1
290	32	1	109
294	294	294	233
295	295	295	110
299	299	299	203
300	300	300	262
302	25	25	1
303	303	303	300
304	304	304	259
306	306	306	1
308	1	1	1
309	309	309	250
312	312	89	89
315	315	315	109
319	319	1	85
320	132	132	1
323	323	323	1
325	325	325	1
327	1	1	1
331	1	1	284
332	396	1	308
333	96	1	1
335	335	235	1
336	336	336	1
338	338	338	1
342	113	113	1
343	343	343	1
350	350	350	1
351	154	154	1
353	44	1	303
355	355	1	141
356	356	356	1
358	358	358	1
360	360	360	236
362	362	362	1
363	363	363	1
364	364	13	1
366	366	366	1
369	369	369	1
370	370	370	1
375	82	1	1
376	1	1	179
377	377	377	198
378	378	378	1
381	381	381	2
384	384	1	1
385	385	385	1
386	386	386	83
389	389	389	1
390	1	1	1
391	391	391	88
392	392	392	220
394	70	70	1
395	395	395	272
398	398	398	125
399	399	399	282
400	400	400	1
405	405	405	1
406	1	1	1
407	407	407	1
409	16	16	16
412	1	1	1
413	413	413	178
414	414	1	136
415	136	1	136
418	82	1	1
421	251	1	236
422	422	248	1
424	1	1	1
425	425	425	1
426	426	426	262
428	428	428	184
432	25	25	370
435	435	435	1
436	205	42	1
437	4	1	1
442	442	1	362
443	443	443	1
446	446	1	350
450	450	450	161
454	454	247	247
455	11	1	1
458	458	458	261
460	460	1	353
463	463	463	1
465	465	465	6
466	466	16	16
474	4	1	231
476	476	476	1
477	477	477	1
478	66	1	85
479	479	479	399
480	480	1	259
482	234	234	234
485	485	485	283
486	61	61	338
490	490	490	1
494	1	1	485
495	495	243	1
499	177	177	177
500	500	500	231
504	227	227	227
507	507	507	500
508	82	1	412
509	509	509	1
511	66	1	111
512	512	512	202
514	1	1	95
515	515	1	138
517	517	517	272
518	518	518	320
519	519	519	1
522	82	1	219
523	248	248	1
526	248	248	523
527	324	324	1
528	11	1	1
530	530	1	6
532	532	532	527
533	533	533	1
535	535	535	1
536	536	1	303
537	188	188	1
538	956	336	336
539	1	1	494
540	540	540	523
541	154	154	1
543	543	543	370
545	545	545	179
548	82	1	1
549	549	549	1
550	550	550	1
553	553	553	519
555	555	555	528
557	557	42	1
561	561	561	1
566	566	566	358
567	39	1	535
568	568	568	1
570	570	570	1
571	267	1	1
573	573	573	356
574	574	574	1
575	1	1	54
576	131	25	1
577	577	577	384
578	205	42	557
579	1	1	1
580	580	580	1
581	581	1	1
582	582	582	1
586	586	586	486
588	457	1	1
589	589	589	1
591	591	591	360
592	82	1	1
596	336	336	336
597	616	1	567
599	599	77	1
600	600	600	270
604	32	1	455
607	607	607	1
608	608	608	1
609	121	121	121
612	132	132	574
613	613	613	1
615	40	1	1
616	616	616	1
619	619	619	412
621	621	621	494
623	323	18	323
624	624	624	1
630	630	1	258
631	132	132	358
633	633	633	1
635	1	1	136
637	637	89	553
639	152	152	1
640	1	1	262
641	641	641	1
643	299	203	299
648	1	1	375
649	649	649	571
650	39	1	1
651	1	1	415
652	164	164	1
653	653	653	435
654	654	654	369
659	659	659	1
660	660	660	574
662	40	1	109
663	663	663	1
670	670	216	1
673	568	568	568
674	248	248	517
676	676	676	579
677	677	1	375
678	678	678	302
679	679	13	1
683	404	1	1
686	686	686	389
690	690	220	1
691	691	691	1
693	89	89	608
696	11	1	1
698	698	698	1
700	700	700	659
701	701	701	198
702	702	702	490
708	1	1	80
714	714	714	1
715	234	234	1
717	206	206	1
719	1	1	1
720	720	720	515
721	152	152	561
724	2195	1	597
727	727	727	1
731	731	731	1
734	734	734	1
737	737	737	370
738	738	738	641
745	745	745	282
746	746	746	482
747	747	747	263
748	748	1	1
749	749	749	495
750	1268	132	612
751	751	751	312
752	752	752	1
753	753	753	608
754	11	1	259
755	32	1	511
756	336	336	336
757	757	757	1
760	760	760	289
761	761	761	101
762	462	462	1
765	357	357	1
766	263	193	263
767	767	767	561
768	768	768	1
769	769	769	701
770	770	42	1
771	771	771	537
772	772	316	1
779	250	250	250
780	137	137	1
782	180	180	654
783	783	783	267
784	784	784	381
785	785	785	770
786	161	161	161
787	1	1	597
790	4	1	1
792	792	792	231
794	794	794	1
795	795	1	533
799	42	42	1
801	1	1	136
804	814	89	1
805	805	805	1
807	807	807	250
810	810	234	482
812	248	248	1
813	813	813	480
814	814	814	519
815	815	815	490
818	426	426	426
819	188	188	1
820	820	820	343
821	82	1	619
823	823	823	771
824	824	824	95
825	154	154	351
831	831	831	526
832	82	1	88
833	86	1	651
834	267	1	633
835	835	304	304
836	341	341	1
838	838	1	267
839	839	839	1
840	840	840	1
842	248	248	831
843	131	25	700
845	845	845	436
846	846	846	400
848	848	131	727
849	4	1	362
852	852	852	1
853	853	853	442
