PID	PGID	SID	PPID
1	1	1	0
5	5	5	1
6	6	6	1
7	7	1	5
8	8	8	1
34	34	34	1
38	1	1	1
39	39	39	38
40	40	40	1
41	41	41	1
49	49	1	1
54	54	54	34
56	56	56	1
59	59	59	5
61	61	61	1
66	66	66	1
67	67	67	1
68	68	68	1
73	73	73	1
75	75	75	61
78	52	1	1
79	79	79	1
84	84	84	1
88	88	88	1
89	89	89	61
90	90	90	1
93	93	93	88
97	97	97	6
101	101	101	1
102	102	102	7
104	2	2	1
107	2	2	1
109	109	109	88
112	112	1	1
118	118	118	79
120	120	120	1
122	122	122	101
124	1648	1	1
134	1	1	1
141	2	2	104
148	148	1	1
149	149	149	66
152	152	152	1
153	153	153	1
155	155	155	101
156	156	156	49
157	157	157	1
160	19	1	75
165	165	165	1
167	167	167	1
171	171	171	1
177	177	1	1
178	178	178	1
181	2808	24	1
183	183	6	97
185	185	1	61
191	191	191	1
192	192	192	1
196	196	196	1
201	201	201	1
203	203	203	1
214	214	214	1
215	215	215	1
216	216	1	41
217	217	217	1
220	220	220	1
221	221	221	1
222	222	222	157
223	223	223	5
225	225	225	1
226	226	226	1
227	142	142	1
229	229	1	223
231	231	231	229
233	233	233	1
236	236	236	181
239	239	239	1
240	240	240	1
242	19	1	1
243	243	243	1
245	72	1	1
257	257	257	1
260	260	1	229
261	261	261	1
266	1	1	1
268	268	1	1
269	269	269	1
271	271	1	1
276	276	276	56
279	279	279	61
280	280	280	1
284	284	284	227
285	285	285	280
287	287	287	1
288	288	288	152
289	289	289	1
290	290	290	40
292	292	8	1
294	294	294	61
295	32	32	1
296	296	296	1
297	297	297	1
298	19	1	1
299	1	1	1
300	300	1	1
301	301	301	1
302	302	302	1
303	303	303	1
304	304	304	1
307	307	307	1
309	309	39	39
310	310	310	8
314	314	314	134
318	318	318	1
322	322	322	215
324	324	324	1
331	331	331	1
332	332	332	79
333	333	333	1
334	9	9	1
339	46	46	1
340	3	3	1
341	1	1	1
342	52	1	1
345	345	345	192
351	351	351	1
354	354	354	299
355	19	1	1
358	358	358	1
360	1	1	1
362	5	1	289
364	364	364	226
367	1	1	303
371	371	371	1
372	2574	120	1
374	374	374	1
375	375	375	1
376	376	376	1
382	382	3	84
383	120	120	120
385	385	385	104
388	388	388	1
389	389	389	1
392	392	392	1
393	393	393	1
394	217	100	217
396	396	396	89
397	397	2	104
400	400	400	371
401	401	102	102
402	402	402	1
405	405	405	49
411	46	46	1
412	412	412	225
413	413	413	153
415	10	1	1
416	416	416	1
417	1486	8	1
420	420	420	1
421	421	421	310
425	248	248	1
427	89	89	89
428	5	1	1
429	1	1	88
430	430	430	73
431	431	431	292
432	19	1	1
434	588	1	430
436	436	436	112
438	438	438	279
440	440	3	84
442	442	442	1
444	444	444	1
446	6	6	1
450	450	390	1
451	451	451	1
454	1	1	242
456	9	9	334
458	458	458	1
460	460	460	1
464	464	464	222
465	114	3	84
468	468	468	236
470	470	1	73
471	471	471	231
472	472	472	226
475	796	1	1
476	476	476	266
477	477	1	1
479	479	1	1
485	485	485	109
487	560	1	1
489	489	489	1
490	490	490	1
494	1	1	1
500	560	1	314
501	966	1	434
503	503	503	1
506	506	506	1
510	510	510	392
513	513	513	1
514	514	1	471
517	517	517	1
520	59	59	1
525	198	198	1
526	101	43	1
528	528	1	342
530	5	1	260
537	537	537	375
538	1	1	1
539	2	2	1
544	544	1	1
548	1	1	221
550	130	130	393
551	551	1	1
552	1	1	41
553	553	553	1
554	69	1	1
555	560	1	41
556	556	556	1
558	6	6	183
560	560	1	1
561	561	561	444
566	566	566	506
567	567	567	1
569	569	569	156
570	570	570	1
572	572	572	1
573	573	573	1
574	574	574	479
575	19	1	1
576	576	576	1
578	578	1	1
580	580	1	454
585	585	585	438
586	6411	1	1
587	52	1	38
589	589	589	1
591	591	8	292
592	592	2	371
593	593	593	84
594	594	594	167
595	595	595	104
596	1	1	1
598	1	1	1
599	599	599	514
600	600	6	6
601	835	118	118
603	603	603	1
605	605	605	1
606	606	606	1
607	37	37	1
610	610	610	279
611	219	219	1
613	1	1	573
614	32	32	1
615	615	615	41
616	616	616	1
618	291	291	1
620	620	620	472
622	10	1	432
625	5	5	1
627	627	627	1
630	120	120	1
633	19	1	1
634	634	223	223
635	1206	248	1
636	1	1	1
637	637	1	1
638	638	638	388
640	153	153	153
641	641	641	1
642	642	3	1
643	643	643	1
